rxns	rxnKEGGID	rxnBiGGID	rxnEHMNID	rxnHepatoNET1ID	rxnREACTOMEID	rxnRecon3DID	rxnMetaNetXID	rxnHMR2ID	rxnRatconID	rxnTCDBID	spontaneous	rxnMAID
HMR_8767	R00502	GALt2_2				GALT	MNXR100027	HMR_8767	RCR11050		0	MA_08767
HMR_0454	R01059	TRIOK		r0252		TRIOK	MNXR104940	HMR_0454	RCR11051		0	MA_00454
HMR_4297	R00757	PFK26		r0188		PFK26	MNXR102508	HMR_4297	RCR14199		0	MA_04297
HMR_4310	R00866	KHK	R00866C	r0206		KHK	MNXR100936	HMR_4310	RCR11052		0	MA_04310
HMR_4315	R00875					SBTD_D2	MNXR104283	HMR_4315	RCR14200		0	MA_04315
HMR_4316	R01787					SBTR	MNXR104287	HMR_4316	RCR14201		0	MA_04316
HMR_4317			RE2782C			RE2782C	MNXR103725	HMR_4317	RCR14202		0	MA_04317
HMR_4318			RE2783			HMR_4318		HMR_4318	RCR10279		0	MA_04318
HMR_4319	R00760	HEX7		r0356		HEX7	MNXR100614	HMR_4319	RCR14203		0	MA_04319
HMR_4320			RE1508C			RE1508C	MNXR103514	HMR_4320	RCR10232		0	MA_04320
HMR_4356	R02568	FBA2	R02568C	r0554		FBA2	MNXR99460	HMR_4356	RCR14204		0	MA_04356
HMR_4383	R00772	MAN6PI	R00772C	r0405		MAN6PI	MNXR101382; MNXR106679	HMR_4383	RCR14205		0	MA_04383
HMR_4385	R01818	PMANM	R01818C	r0404		PMANM	MNXR101729	HMR_4385	RCR10147		0	MA_04385
HMR_4386	R00883	MAN1PT2	R00883C	r0207		MAN1PT2	MNXR101376	HMR_4386	RCR10455		0	MA_04386
HMR_4387	R00885			r0208		r0208	MNXR101375	HMR_4387	RCR10456		0	MA_04387
HMR_4399	R00888	GMAND	R00888C	r0209		GMAND	MNXR100377	HMR_4399	RCR10457		0	MA_04399
HMR_4400	R05692		R05692C	r0782		r0782	MNXR100108; MNXR105384	HMR_4400	RCR10148		0	MA_04400
HMR_4401	R01951	F1PGT	R01951C	r0452		F1PGT	MNXR99061	HMR_4401	RCR14206		0	MA_04401
HMR_4402	R03161	FK	R03161C	r0597		FK	MNXR107992; MNXR99595	HMR_4402	RCR14207		0	MA_04402
HMR_4403	R03163			r0598		r0598	MNXR107994; MNXR99468	HMR_4403	RCR11053		0	MA_04403
HMR_4490	R01326	HEX4		r0359		HEX4	MNXR95795	HMR_4490	RCR10024		0	MA_04490
HMR_4706	R00763	FBP26		r0567		FBP26	MNXR106671; MNXR99466	HMR_4706	RCR14208		0	MA_04706
HMR_8768	R05692	GFUCS				GFUCS	MNXR100108	HMR_8768	RCR11054		0	MA_08768
HMR_4590	R01904	XYLUR	R01904C	r0427		XYLUR	MNXR105265	HMR_4590	RCR11055		0	MA_04590
HMR_4591	R05831			r0784		XYLTD_Dr; r0784	MNXR105262	HMR_4591	RCR10280		0	MA_04591
HMR_4592	R01431					HMR_4592	MNXR105261	HMR_4592	RCR11056		0	MA_04592
